schedule_id,route_number,route_detail,first_bus,last_bus,trips_weekday,trips_saturday,trips_sunday,reference_date,source_document,source_page,source_url,notes
branch-770-main,770,죽도-기계-죽장-기계-죽도,06:30,21:20,5,5,5,2026-08-23,pohang_branch_gigye_gibuk_jukjang.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,770번 표에서 정규 운행만 계수; 마을버스 표기 행 제외
branch-771-main,771,죽도-기계-기북-기계,06:40,21:20,7,7,7,2026-08-23,pohang_branch_gigye_gibuk_jukjang.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,771번 표에서 정규 운행만 계수; 희망버스 표기 행 제외
branch-guryongpo1-gangsa,구룡포1,구룡포-강사3리-구룡포,06:50,17:05,2,2,2,2026-08-23,pohang_branch_guryongpo.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,강사3리 운행 행만 계수
branch-guryongpo2-yangpo,구룡포2,구룡포-영암-양포,06:20,19:10,5,5,5,2026-08-23,pohang_branch_guryongpo.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,영암 경유 정규 운행만 계수; 경유 표시는 별도 운행으로 중복 계수하지 않음
branch-gigye1-angang,기계1,기계-안강-기계,07:00,19:20,19,19,19,2026-08-23,pohang_branch_gigye_gibuk_jukjang.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,기계-안강 왕복 표의 행 수
branch-gigye2-hwabong,기계2,기계-계전-미현-화봉-기계,07:10,17:30,3,3,3,2026-08-23,pohang_branch_gigye_gibuk_jukjang.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,계전·미현·화봉 표의 정규 행 수
branch-gigye3-jukjang,기계3,기계-감곡-지동-죽장-기계,06:40,21:20,5,5,5,2026-08-23,pohang_branch_gigye_gibuk_jukjang.pdf,2,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,마을버스 표기 행 가운데 지동·감곡 경유 정규 운행
branch-gigye-hope-1,기계희망,1회 율산-기북-대곡-지가-기계,07:20,08:45,1,1,1,2026-08-23,pohang_branch_gibuk_hope.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,노선상세의 1회 운행과 PDF 첫 운행 연결
branch-daesong-main,대송1,도심-송동-도심,06:15,22:30,7,7,7,2026-08-23,pohang_branch_daesong.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,추가 경유지 없는 송동 회차 행만 계수
branch-donghae1-geumgwang,동해1,동해-금광-동해,07:35,18:35,7,7,7,2026-08-23,pohang_branch_donghae.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,동해-금광 표의 행 수
branch-donghae2-mopo,동해2,동해-모포-동해,06:35,18:00,4,4,4,2026-08-23,pohang_branch_donghae.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,동해-모포 표의 행 수; 석리 경유 219번 표 제외
branch-songra-jigyeong,송라,송라-지경-대전-화진-방석-송라,06:50,17:05,5,5,5,2026-08-23,pohang_branch_cheongha_songra.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,송라-지경리 표의 정규 행 수
branch-singwang1-naengsu,신광1,신광-흥곡-냉수1-냉수2-신광,06:30,17:40,7,7,7,2026-08-23,pohang_branch_singwang.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,흥곡·냉수 표의 행 수
branch-singwang2-bangok,신광2,신광-반곡리-신광,08:20,16:05,3,3,3,2026-08-23,pohang_branch_singwang.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,반곡·안덕 표의 행 수
branch-yangdeok-main,양덕,양덕-한동대-양덕(기본),06:00,22:55,30,30,30,2026-08-23,pohang_branch_yangdeok.pdf,1,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000,양덕-한동대 왕복 표의 행 수; 편도 표시는 별도 운행으로 추가하지 않음
