route_number,first_bus,last_bus,minimum_interval_minutes,maximum_interval_minutes,explicit_daily_trips,as_of,source_url
110,05:20,22:30,23,25,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
111,05:20,22:30,20,23,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
120,05:20,22:30,18,20,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
121,05:20,22:30,18,20,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
130,05:20,22:30,23,24,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
131,05:20,22:30,22,23,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
206,05:20,22:40,18,20,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
207,05:20,22:50,12,14,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
209,05:20,22:45,15,18,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
216,05:20,22:45,17,19,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
219,06:50,21:50,,,9,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
302,05:20,22:50,17,19,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
305,05:20,22:50,18,19,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
306,05:20,22:50,23,26,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
308,05:20,22:50,20,22,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
600,05:20,22:50,31,33,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
700,05:25,22:40,32,35,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
800,05:30,22:10,50,60,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
900,05:15,22:50,16,18,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
5000,05:10,22:12,25,26,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
9000,05:10,21:35,41,45,,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
580,06:50,20:00,,,5,2026-08-23,https://cn.pohang.go.kr/dept/contents.do?mid=0505070000
